证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
海航控股,2023-03-31,158002000.0,74346000.0,600221,12610477000.0,13147778000.0,0.063,6.831,0.0535,0.003656,0.565,4.09
太龙药业,2023-03-31,3682566.68,2816063.62,600222,406839571.39,560317916.01,-0.161,0.237,2.7068,0.006417,0.503,27.39
鲁商发展,2023-03-31,129333003.46,173930415.69,600223,771016177.65,1272172649.79,0.093,3.363,3.7836,0.127225,13.672,39.39
卓朗科技,2023-03-31,-3520120.67,-21154375.04,600225,56150246.49,65603737.35,0.014,-0.16,0.6433,-0.001032,-32.246,14.41
ST瀚叶,2023-03-31,42993520.28,43728267.31,600226,111821123.57,129246950.88,-0.008,1.371,1.0068,0.013801,33.833,13.48
圣济堂,2023-03-31,-34708006.89,-40876846.46,600227,430652904.72,495668175.06,-0.029,-1.258,1.6297,-0.020499,-8.247,13.12
返利科技,2023-03-31,-337137.6,567724.74,600228,28250585.44,78441081.12,-0.014,-0.03,1.5502,-0.000462,0.724,63.98
城市传媒,2023-03-31,96797540.46,97136254.98,600229,412422196.15,637336821.08,-0.152,3.128,4.6105,0.144214,15.241,35.29
沧州大化,2023-03-31,71708749.1,84943968.63,600230,952633718.46,1149405539.12,0.102,1.785,9.6011,0.171406,7.39,17.12
凌钢股份,2023-03-31,45988853.38,65112483.0,600231,5342657053.94,5531291081.21,0.015,0.561,2.8582,0.016124,1.177,3.41
金鹰股份,2023-03-31,8379408.05,9299886.79,600232,217048916.5,258563562.94,-0.23,0.785,2.9261,0.022975,3.597,16.06
圆通速递,2023-03-31,905785278.1,1204159160.28,600233,11421824692.66,12914015802.33,0.387,3.284,8.0149,0.912034,9.324,11.55
科新发展,2023-03-31,-5021747.04,-5026757.44,600234,9700581.14,11463696.2,0.028,-0.845,2.2648,-0.019129,-43.849,15.38
民丰特纸,2023-03-31,3373653.97,3481660.15,600235,343555254.42,381763911.38,0.028,0.239,4.0131,0.009603,0.912,10.01
桂冠电力,2023-03-31,294441251.05,393896465.12,600236,1361531319.17,1995115655.68,0.167,1.531,2.1824,0.037354,19.743,31.76
铜峰电子,2023-03-31,22296180.31,20933594.83,600237,195654809.96,261148260.75,-0.046,1.789,2.2086,0.039506,8.016,25.08
海南椰岛,2023-03-31,-14267708.26,-15806022.79,600238,55139336.04,76224111.34,-0.012,-3.953,0.8053,-0.031833,-20.736,27.66
ST云城,2023-03-31,153634166.7,176030006.1,600239,221191129.02,396995430.8,0.237,9.467,1.0107,0.095681,44.341,44.28
ST时万,2023-03-31,12529191.92,15024612.07,600241,145580504.91,181969849.57,-0.214,1.155,3.6855,0.042573,8.257,20.0
*ST中昌,2023-03-31,-13571246.57,-13571246.57,600242,32884417.38,33743670.71,-0.045,,-0.5548,-0.029718,-40.219,2.55
青海华鼎,2023-03-31,-15706885.92,-16000863.48,600243,60860516.55,63617592.19,-0.04,-1.791,1.9986,-0.035791,-25.152,4.33
万通发展,2023-03-31,-27197354.82,-24971320.69,600246,93052948.85,126903487.5,0.001,-0.454,2.9181,-0.013241,-19.677,26.67
陕西建工,2023-03-31,817385625.48,1140248645.85,600248,32757141520.64,35528404694.84,-1.082,3.347,5.2317,0.221581,3.209,7.8
两面针,2023-03-31,4590332.53,6024777.64,600249,154035558.92,187956246.08,-0.032,0.218,3.8212,0.008346,3.205,18.05
南纺股份,2023-03-31,6510861.61,26259287.61,600250,143969118.91,200946074.09,0.057,1.171,1.7905,0.020963,13.068,28.35
冠农股份,2023-03-31,292884498.79,359772715.84,600251,1305989982.48,1525467763.77,0.731,8.437,4.4563,0.375974,23.584,14.39
中恒集团,2023-03-31,-17116845.17,-31199103.23,600252,242297066.79,669688145.45,0.022,-0.264,1.8661,-0.004935,-4.659,63.82
鑫科材料,2023-03-31,-8659449.48,-10986674.85,600255,769463886.79,821502405.32,-0.02,-0.617,0.7768,-0.004794,-1.337,6.33
广汇能源,2023-03-31,3007169621.76,3815116027.56,600256,15188222715.1,19861531725.11,0.328,9.424,4.8602,0.458008,19.209,23.53
大湖股份,2023-03-31,-9137404.94,-1087630.25,600257,195350522.43,250086468.74,0.02,-1.051,1.8072,-0.018987,-0.435,21.89
首旅酒店,2023-03-31,77190888.11,115364944.05,600258,1147952451.92,1655538473.32,0.792,0.731,9.4423,0.068991,6.968,30.66
广晟有色,2023-03-31,5659625.5,6054865.04,600259,5977981178.84,6199389773.67,-1.485,0.164,10.244,0.016822,0.098,3.57
阳光照明,2023-03-31,58224468.25,70208699.41,600261,505043113.0,762143558.63,-0.009,1.604,2.5664,0.041158,9.212,33.73
北方股份,2023-03-31,20679814.19,39546961.84,600262,296601151.49,384648548.86,1.787,1.472,8.2627,0.121646,10.281,22.89
ST景谷,2023-03-31,-291131.27,2025565.3,600265,57682374.66,66612012.86,-0.106,-0.191,1.1768,-0.002243,3.041,13.41
城建发展,2023-03-31,62586466.79,47032034.87,600266,958583952.72,1354228313.32,2.366,0.259,8.9492,0.027736,3.473,29.22
海正药业,2023-03-31,232298844.11,295762745.82,600267,1830728132.67,3063534009.22,0.258,2.793,6.5842,0.196798,9.654,40.24
国电南自,2023-03-31,-32314472.69,15889934.38,600268,854162545.51,1121811163.23,-0.751,-1.172,3.9042,-0.045764,1.416,23.86
