code,pubdate,statdate,updatedate,resstotalasset,ressnetasset,ressepschgpct,ressroewa,ressepsdiluted,ressgryoy,ressopyoy
sz.000023,2021-04-15,2020-12-31,2021-04-15,2327880000.0,464458000.0,-1.16052,-1.74,-0.0588,-0.025868,-0.575414
sz.000025,2021-04-14,2020-12-31,2021-04-14,1711820000.0,1314910000.0,-0.717425,4.8,0.144,-0.258286,-0.742819
sz.000026,2021-02-05,2020-12-31,2021-02-05,4018710000.0,2799950000.0,0.3684,10.78,0.6764,0.145572,0.362887
sz.000027,2015-01-23,2014-12-31,2015-01-23,38084300000.0,17563200000.0,0.150229,10.92,0.7,0.027551,0.394684
sz.000027,2016-01-21,2015-12-31,2016-01-21,55632300000.0,21729500000.0,-0.063764,9.03,0.4493,-0.104778,0.005191
sz.000027,2016-07-27,2016-06-30,2016-07-27,59428000000.0,21065400000.0,-0.036928,4.11,0.22,2.27465,-0.133579
sz.000027,2017-01-14,2016-12-31,2017-01-14,60605500000.0,21574400000.0,-0.096591,6.5,0.355,0.005854,-0.156965
sz.000027,2018-02-03,2017-12-31,2018-02-03,75094000000.0,21845600000.0,-0.142947,3.59,0.1968,0.354828,-0.265396
sz.000027,2018-07-19,2018-06-30,2018-07-19,78157700000.0,21038200000.0,0.034789,2.57,0.1365,0.291355,0.232644
sz.000027,2019-01-24,2018-12-31,2019-01-24,86864900000.0,24170100000.0,-0.03,3.21,0.1843,0.191214,-0.077758
sz.000027,2021-04-15,2020-12-31,2021-04-15,114062000000.0,37963000000.0,0.813953,14.57,0.78,-0.017414,0.157199
sz.000027,2021-07-15,2021-06-30,2021-07-15,121733000000.0,45145300000.0,-0.457133,5.57,0.3242,0.508728,0.66536
sz.000027,2022-01-22,2021-12-31,2022-01-22,132276000000.0,45210500000.0,-0.551282,6.15,0.35,0.465484,-0.0166
sz.000027,2022-07-16,2022-06-30,2022-07-16,136905000000.0,46180500000.0,-0.404176,3.48,0.2083,0.202466,-0.40251
sz.000027,2023-01-17,2022-12-31,2023-01-17,142251000000.0,46595800000.0,-0.0725,4.96,0.2968,0.159222,-0.008887
sz.000028,2017-03-21,2016-12-31,2017-03-21,21312800000.0,8399500000.0,0.7142,15.08,2.8,13.4041,0.253741
sz.000028,2019-03-21,2018-12-31,2019-03-21,28923700000.0,11461300000.0,0.1417,11.59,2.82,0.045052,0.137791
sz.000028,2020-03-25,2019-12-31,2020-03-25,33520600000.0,12806400000.0,0.04947,10.43,2.97,0.206931,0.098486
sz.000028,2020-08-18,2020-06-30,2020-08-18,37669900000.0,13200000000.0,-0.013158,4.91,1.5,0.061359,0.059381
sz.000028,2021-03-16,2020-12-31,2021-03-16,39594500000.0,13948300000.0,0.10101,10.49,3.27,0.130007,0.182149
sz.000028,2022-03-16,2021-12-31,2022-03-16,42783700000.0,14924900000.0,-0.045872,9.29,3.12,0.145992,-0.09771
sz.000028,2022-04-20,2022-03-31,2022-04-20,44844100000.0,15177200000.0,-0.233766,1.68,0.59,0.068591,-0.204236
sz.000028,2022-08-20,2022-06-30,2022-08-20,45969000000.0,15342300000.0,-0.092486,4.44,1.57,0.089431,-0.092136
sz.000028,2023-03-16,2022-12-31,2023-03-16,42615800000.0,16125900000.0,0.112179,9.59,3.47,0.074393,0.181139
sz.000028,2023-04-18,2023-03-31,2023-04-18,47885200000.0,16488100000.0,0.440678,2.22,0.85,0.089556,0.536621
sz.000030,2021-04-15,2020-12-31,2021-04-15,14461500000.0,7262600000.0,0.04,12.94,0.52,0.104297,-0.015471
sz.000032,2016-04-14,2015-12-31,2016-04-14,2125740000.0,1379750000.0,-0.128429,3.98,0.1551,1.44345,-0.670439
sz.000032,2018-04-14,2017-12-31,2018-04-14,1927340000.0,1472560000.0,-0.081329,1.83,0.0625,-0.133971,-0.412268
sz.000034,2019-08-01,2019-06-30,2019-08-01,27490800000.0,4051940000.0,0.488998,9.97,0.609,0.281082,0.547942
sz.000034,2023-03-13,2022-12-31,2023-03-13,40216000000.0,7602050000.0,3.23651,14.52,1.562,-0.053151,1.62024
sz.000035,2015-04-15,2014-12-31,2015-04-15,3272290000.0,1622180000.0,0.150764,15.66,0.35,12.4619,1.43744
sz.000035,2019-04-15,2018-12-31,2019-04-15,8808910000.0,3236570000.0,-0.07461,6.83,0.16,0.145841,-0.014921
sz.000036,2015-04-08,2014-12-31,2015-04-08,4568930000.0,1877100000.0,-0.040085,1.84,0.0309,86.2847,-0.551237
sz.000036,2016-04-15,2015-12-31,2016-04-15,6468010000.0,2047910000.0,0.037157,3.85,0.0683,1.02353,1.2927
