证券简称,报告期,归属母公司所有者净利润(元),营业利润(元),证券代码,营业成本(元),营业收入(元),每股经营现金流量(元),净资产收益率,每股净资产(元),每股收益(元),营业利润率,毛利率
航天科技,2023-03-31,1957529.98,13086948.15,000901,1272837709.26,1528868044.65,-0.155,0.046,5.3497,0.002452,0.856,16.75
新洋丰,2023-03-31,408606670.23,495254915.78,000902,3723294155.17,4418261498.82,-0.198,4.544,6.678,0.306555,11.209,15.73
云内动力,2023-03-31,-52844886.64,-50735231.76,000903,1530359808.87,1645027469.87,-0.153,-1.221,2.1969,-0.026814,-3.084,6.97
厦门港务,2023-03-31,76827322.79,120579847.07,000905,5864240836.62,6036002235.71,0.265,1.595,6.4923,0.103567,1.998,2.85
浙商中拓,2023-03-31,265126916.5,438893225.4,000906,42630632864.87,43272851240.05,-3.747,4.774,6.617,0.385228,1.014,1.48
景峰医药,2023-03-31,1278629.96,10925525.87,000908,39763582.42,176056130.03,0.016,0.715,0.2033,0.001453,6.206,77.41
ST数源,2023-03-31,14277031.11,32383028.28,000909,157475798.64,257187544.88,0.943,0.973,3.6997,0.031459,12.591,38.77
大亚圣象,2023-03-31,-43610565.65,-44103018.49,000910,778561557.49,1022171488.79,0.208,-0.68,11.7201,-0.079669,-4.315,23.83
南宁糖业,2023-03-31,9401870.18,15776068.29,000911,1041819152.6,1169981826.3,-0.562,18.935,0.124,0.023486,1.348,10.95
泸天化,2023-03-31,173349950.88,178683740.29,000912,1908094761.31,2186529140.95,0.004,2.693,4.1048,0.110555,8.172,12.73
钱江摩托,2023-03-31,73910910.41,75036509.42,000913,996414096.61,1333551037.86,0.112,1.81,7.7511,0.140267,5.627,25.28
华特达因,2023-03-31,163725554.07,370013315.98,000915,79387908.43,561439253.57,1.432,5.958,11.7262,0.698692,65.904,85.86
电广传媒,2023-03-31,26123125.04,75062891.58,000917,564207056.4,804524482.03,0.109,0.256,7.2113,0.018428,9.33,29.87
*ST嘉凯,2023-03-31,-146762628.46,-121917154.52,000918,215643370.89,218537002.49,0.009,,-0.1351,-0.081345,-55.788,1.32
金陵药业,2023-03-31,43585110.26,59239697.2,000919,559305288.06,708534720.18,-0.05,1.435,5.9428,0.085271,8.361,21.06
沃顿科技,2023-03-31,28499083.4,29075046.38,000920,207043222.44,325935494.5,0.024,1.634,3.6912,0.0603,8.92,36.48
海信家电,2023-03-31,615296643.26,1222813482.15,000921,15326850493.06,19430480828.07,0.651,5.129,8.8034,0.451519,6.293,21.12
佳电股份,2023-03-31,98702485.0,111254383.21,000922,802115040.19,1000565087.99,-0.736,3.179,5.2049,0.165458,11.119,19.83
河钢资源,2023-03-31,187656083.92,355959866.01,000923,461436018.2,1139976600.64,0.742,2.173,13.2306,0.287495,31.225,59.52
众合科技,2023-03-31,-26990658.96,-34275064.8,000925,266634502.06,345242116.5,-0.483,-0.977,4.9217,-0.048104,-9.928,22.77
福星股份,2023-03-31,41697778.75,92996455.53,000926,939963361.09,1380248202.62,0.845,0.369,11.9022,0.043924,6.738,31.9
中国铁物,2023-03-31,178291550.59,237697411.18,000927,10019906275.64,10553579161.64,-0.014,2.074,1.4206,0.029468,2.252,5.06
中钢国际,2023-03-31,208083570.15,287905514.92,000928,4654698249.39,5109464489.55,-0.698,3.084,5.2162,0.162428,5.635,8.9
兰州黄河,2023-03-31,-2979794.77,-6491982.12,000929,62356776.04,73639016.5,0.044,-0.467,3.4358,-0.016041,-8.816,15.32
中粮科技,2023-03-31,1450089.28,25514436.75,000930,4262256500.08,4522104000.26,-1.437,0.012,6.4901,0.000778,0.564,5.75
中 关 村,2023-03-31,9465591.5,20022514.13,000931,254062582.82,588401769.3,0.078,0.635,1.9805,0.012568,3.403,56.82
华菱钢铁,2023-03-31,688528138.1,1152174908.0,000932,36812003010.26,39762223771.96,-0.496,1.361,7.3205,0.099662,2.898,7.42
神火股份,2023-03-31,1546251982.58,2166011819.37,000933,6785289532.32,9514523824.46,1.186,8.768,7.8345,0.686922,22.765,28.68
四川双马,2023-03-31,211972548.35,245231959.86,000935,144590343.53,233308212.68,-0.03,3.16,8.7878,0.277654,105.111,38.03
华西股份,2023-03-31,22172234.53,26414366.9,000936,618283976.15,673285142.37,-0.176,0.437,5.727,0.025025,3.923,8.17
冀中能源,2023-03-31,2703311457.26,3415630795.1,000937,4972821542.36,7924881240.15,0.28,11.302,6.7689,0.765042,43.1,37.25
紫光股份,2023-03-31,438959525.8,1013523009.15,000938,13055971964.44,16528532585.14,-0.333,1.36,11.2852,0.153478,6.132,21.01
南天信息,2023-03-31,-11685200.15,-11330732.96,000948,1647952484.83,1860353451.17,-3.112,-0.482,6.1495,-0.029631,-0.609,11.42
新乡化纤,2023-03-31,17431583.24,24925460.42,000949,1662515539.04,1839880227.54,0.009,0.317,3.7544,0.011885,1.355,9.64
重药控股,2023-03-31,166044332.35,275798806.94,000950,17995584878.72,19620276794.03,-1.775,1.535,6.2052,0.095243,1.406,8.28
中国重汽,2023-03-31,223963735.05,420340803.92,000951,8484062991.78,9213621716.33,1.123,1.604,11.8869,0.190629,4.562,7.92
广济药业,2023-03-31,-44038541.85,-45298268.91,000952,94210912.16,115290588.81,-0.178,-3.011,4.1318,-0.124412,-39.291,18.28
河化股份,2023-03-31,-1569616.07,-1033325.14,000953,50971052.98,57808350.06,-0.014,-2.056,0.2086,-0.004287,-1.788,11.83
欣龙控股,2023-03-31,-7974591.39,-7815270.92,000955,141284952.02,155081850.4,-0.071,-1.163,1.2732,-0.014812,-5.039,8.9
中通客车,2023-03-31,20666894.25,22972295.26,000957,531686636.86,693888713.39,-0.355,0.77,4.525,0.034857,3.311,23.38
电投产融,2023-03-31,300279012.98,477597056.8,000958,950468002.55,1339684770.78,-0.121,1.601,3.4848,0.055779,35.65,29.05
首钢股份,2023-03-31,-58476560.35,-11383602.77,000959,27458952152.99,28714734639.43,-0.224,-0.121,6.1974,-0.007478,-0.04,4.37
锡业股份,2023-03-31,267233238.52,349091015.1,000960,10268800271.64,11120939959.77,0.525,1.59,10.2101,0.162373,3.139,7.66
中南建设,2023-03-31,-665649652.02,-424691292.15,000961,10253435568.89,11129557467.17,0.094,-4.82,3.6092,-0.173955,-3.816,7.87
东方钽业,2023-03-31,58664385.1,58994322.82,000962,252970060.46,292021451.57,0.103,3.767,3.5326,0.133076,20.202,13.37
华东医药,2023-03-31,755284976.47,953939762.93,000963,6790724204.77,10114531331.77,-0.14,3.911,11.0115,0.430608,9.431,32.86
天保基建,2023-03-31,22011702.72,33011828.87,000965,151256515.37,266409927.08,-1.294,0.402,4.9286,0.019833,12.391,43.22
长源电力,2023-03-31,221492612.67,325867504.28,000966,3465483412.35,3923397781.52,0.16,2.25,3.5812,0.080562,8.306,11.67
盈峰环境,2023-03-31,156375931.23,178219248.11,000967,2000643530.87,2671198594.33,-0.117,0.896,5.4027,0.049182,6.672,25.1
蓝焰控股,2023-03-31,236376486.76,279680147.24,000968,328895078.18,571227958.1,0.133,4.359,5.6046,0.244316,48.961,42.42
安泰科技,2023-03-31,76762708.4,102531459.53,000969,1733529162.91,2107515933.13,-0.213,1.526,4.9016,0.074817,4.865,17.75
中科三环,2023-03-31,101140668.66,164978977.23,000970,1833898351.17,2215361632.91,0.408,1.546,5.3814,0.083194,7.447,17.22
ST高升,2023-03-31,-71233657.55,-72678603.71,000971,147138167.4,111925780.94,0.026,-45.191,0.2282,-0.067933,-64.935,-31.46
中基健康,2023-03-31,16882477.46,16965309.28,000972,117410716.46,149986679.55,0.082,15.047,0.1455,0.021889,11.311,21.72
佛塑科技,2023-03-31,17842114.14,27607314.01,000973,481934786.44,609400222.07,-0.036,0.67,2.7546,0.018443,4.53,20.92
银泰黄金,2023-03-31,296409885.67,416146328.24,000975,1645395585.41,2191765411.03,0.172,2.842,3.7556,0.106748,18.987,24.93
华铁股份,2023-03-31,17188378.83,17655160.09,000976,196135473.09,267748796.93,-0.438,0.554,1.9448,0.010772,6.594,26.75
浪潮信息,2023-03-31,210268287.58,220415623.5,000977,8177448061.02,9400402951.73,-0.065,1.205,11.2407,0.143654,2.345,13.01
桂林旅游,2023-03-31,-12508259.97,-14150961.97,000978,64817527.07,85766099.54,-0.018,-0.981,2.7234,-0.02672,-16.499,24.43
众泰汽车,2023-03-31,-187644558.11,-187158328.0,000980,172197592.4,162806170.11,-0.019,-8.342,0.4461,-0.037212,-114.958,-5.77
山子股份,2023-03-31,-197108113.62,-241136967.41,000981,976444614.83,1155834715.81,-0.044,-4.476,0.4405,-0.019716,-20.863,15.52
中银绒业,2023-03-31,7459374.49,10483776.41,000982,123952289.32,152449340.98,-0.01,0.611,0.2864,0.00175,6.877,18.69
山西焦煤,2023-03-31,2469661883.61,4191568572.26,000983,8688452868.45,14752226928.05,0.891,6.893,6.886,0.474664,28.413,41.1
大庆华科,2023-03-31,2273226.83,2621587.62,000985,603606533.29,629173594.69,0.179,0.376,4.6687,0.017535,0.417,4.06
越秀资本,2023-03-31,712361284.43,1210847922.59,000987,3247248857.16,3877491574.17,0.269,2.571,5.5236,0.141986,31.228,16.25
华工科技,2023-03-31,308100357.33,355013048.95,000988,2100845774.73,2664844769.27,0.226,3.648,8.3992,0.306414,13.322,21.16
九 芝 堂,2023-03-31,161848803.83,200479163.56,000989,392380365.85,1089123621.24,-0.151,3.903,4.8453,0.189089,18.407,63.97
诚志股份,2023-03-31,-56979827.62,-29759222.94,000990,3074664040.02,3365397917.36,-0.166,-0.324,14.4542,-0.046888,-0.884,8.64
闽东电力,2023-03-31,21491351.35,31217892.61,000993,150139158.96,213425664.73,-0.027,0.961,4.885,0.046929,14.627,29.65
*ST皇台,2023-03-31,2462638.17,2903558.7,000995,13692565.19,38559011.47,-0.027,1.802,0.7704,0.013881,7.53,64.49
中国中期,2023-03-31,-1512035.81,-1487443.97,000996,2105353.22,2914725.9,-0.051,-0.316,1.3888,-0.004383,-51.032,27.77
新 大 陆,2023-03-31,299167963.38,337274335.55,000997,1177294029.16,1758116503.1,0.8,5.08,5.7065,0.289874,19.184,33.04
隆平高科,2023-03-31,170575986.89,239677810.61,000998,583694374.29,1063840523.24,-0.569,3.22,4.0219,0.129522,22.529,45.13
华润三九,2023-03-31,1151030150.88,1513898999.37,000999,2917341697.08,6352408318.71,0.305,6.332,18.3919,1.164602,23.832,54.08
东瑞股份,2023-03-31,-190875094.58,-187165158.14,001201,382837378.22,325337397.85,-0.101,-6.55,13.6935,-0.896946,-57.53,-17.67
炬申股份,2023-03-31,10612714.82,14921659.94,001202,209388578.67,238673138.06,-0.03,1.502,5.4856,0.082397,6.252,12.27
大中矿业,2023-03-31,193740603.58,232134702.71,001203,315516888.36,640461204.68,-0.177,3.053,4.0561,0.128474,36.245,50.74
盛航股份,2023-03-31,45429346.33,55494495.26,001205,197588822.04,292315804.3,0.185,3.003,8.8423,0.265573,18.984,32.41
依依股份,2023-03-31,-2254684.67,-7096045.78,001206,263896996.11,283766177.08,0.549,-0.125,13.6876,-0.017072,-2.501,7.0
联科科技,2023-03-31,17531658.27,18735620.24,001207,417282778.75,463002060.39,-0.139,1.322,7.2149,0.095353,4.047,9.87
华菱线缆,2023-03-31,18531444.53,20253688.71,001208,713425435.02,817656964.12,-0.439,1.235,2.8072,0.034676,2.477,12.75
洪兴股份,2023-03-31,30597283.23,37724513.33,001209,217856304.95,348144590.51,-0.045,2.421,9.6099,0.232639,10.836,37.42
金房节能,2023-03-31,116907111.4,143516412.97,001210,356090011.18,518340145.08,-1.39,8.464,15.221,1.28826,27.688,31.3
双枪科技,2023-03-31,2092716.28,2223603.23,001211,123557359.33,198604003.72,0.21,0.238,12.2266,0.029066,1.12,37.79
中旗新材,2023-03-31,17993091.03,20848154.14,001212,107077963.09,139375869.36,-0.14,1.138,12.1465,0.152651,14.958,23.17
中铁特货,2023-03-31,138207231.79,171541967.4,001213,2202071656.6,2376899235.76,-0.017,0.749,4.1511,0.031097,7.217,7.36
千味央厨,2023-03-31,30285893.94,40544045.73,001215,326234814.1,428996352.15,-0.282,2.776,12.5942,0.34955,9.451,23.95
华瓷股份,2023-03-31,41425488.27,35137554.64,001216,173798179.42,259213431.15,0.089,2.76,5.9589,0.164474,13.555,32.95
华尔泰,2023-03-31,32937047.84,36890525.45,001217,406399950.72,452222654.41,-0.541,1.564,6.3466,0.099247,8.158,10.13
丽臣实业,2023-03-31,38657288.87,40169235.31,001218,626606761.58,719828585.52,0.545,1.841,16.6707,0.306819,5.58,12.95
青岛食品,2023-03-31,26888242.13,35934815.2,001219,85201250.5,130979595.8,0.158,2.828,8.2404,0.233051,27.435,34.95
源飞宠物,2023-03-31,21179819.33,24174159.63,001222,143375580.63,187997016.5,0.144,1.817,8.547,0.155334,12.859,23.74
欧克科技,2023-03-31,29459510.64,34617985.64,001223,63710935.86,94596106.39,0.164,1.637,26.9917,0.441804,36.596,32.65
和泰机电,2023-03-31,31365499.74,35618153.31,001225,68920781.16,113272590.67,-0.97,2.17,22.3565,0.485033,31.445,39.15
拓山重工,2023-03-31,11663779.21,12109317.55,001226,145012529.19,167013625.02,-1.118,1.512,10.3319,0.156211,7.25,13.17
兰州银行,2023-03-31,540910881.86,623735930.67,001227,,1999545918.93,0.55,1.683,5.6437,0.094968,31.194,
永泰运,2023-03-31,38051841.7,54859551.08,001228,442823673.42,527944611.86,0.305,2.278,16.0816,0.36636,10.391,16.12
魅视科技,2023-03-31,16137170.75,19066514.47,001229,8719781.54,39083104.71,0.052,1.722,9.3715,0.161372,48.785,77.69
劲旅环境,2023-03-31,32012278.46,32107828.95,001230,256658869.64,337936451.51,-0.204,1.902,15.1062,0.287381,9.501,24.05
农心科技,2023-03-31,16857684.91,20252018.64,001231,106323315.29,160315364.24,-0.324,1.822,9.2538,0.168577,12.633,33.68
泰慕士,2023-03-31,13870903.6,15581573.58,001234,158916805.26,193924254.27,-0.148,1.546,8.4121,0.13004,8.035,18.05
弘业期货,2023-03-31,5830109.25,7490377.32,001236,,165299348.86,-1.786,0.317,1.8257,0.005785,4.531,
浙江正特,2023-03-31,22621348.02,24681148.58,001238,265432511.37,351488572.39,-0.146,2.023,10.1638,0.205649,7.022,24.48
博菲电气,2023-03-31,18760666.86,22557734.7,001255,60002825.52,94936766.98,-0.13,2.492,9.4105,0.234508,23.761,36.8
炜冈科技,2023-03-31,18647857.42,20948700.75,001256,48037765.86,70329507.63,0.03,1.74,7.5159,0.130759,29.787,31.7
立新能源,2023-03-31,26232791.4,30594210.5,001258,94335043.85,201968256.34,0.09,0.906,3.1021,0.028107,15.148,53.29
利仁科技,2023-03-31,17292758.7,20178305.96,001259,111250201.61,151766143.71,0.271,2.285,10.2856,0.234991,13.296,26.7
坤泰股份,2023-03-31,9331986.96,12109586.37,001260,74297587.39,105429240.59,-0.273,1.18,6.8747,0.081148,11.486,29.53
宏英智能,2023-03-31,5866816.52,6376369.58,001266,76473494.18,112895390.17,-1.164,0.565,10.0937,0.057061,5.648,32.26
汇绿生态,2023-03-31,5200382.54,7025996.39,001267,82163179.97,102402280.27,-0.091,0.346,1.9385,0.01874,6.861,19.76
联合精密,2023-03-31,16079162.04,18201950.11,001268,133970487.8,168679116.01,0.316,1.689,8.8193,0.148973,10.791,20.58
欧晶科技,2023-03-31,172111946.55,196746322.45,001269,417747823.09,636124487.44,-0.824,13.101,9.5594,1.252401,30.929,34.33
铖昌科技,2023-03-31,12206646.1,12479177.67,001270,11231864.7,40127638.94,-0.589,0.887,12.3111,0.10917,31.099,72.01
一彬科技,2023-03-31,18872298.63,23554006.78,001278,319202418.46,407405914.64,-0.016,1.543,9.8856,0.152524,5.781,21.65
豪鹏科技,2023-03-31,1464634.69,-6626415.37,001283,591637982.09,740441350.94,0.306,0.065,27.5941,0.017892,-0.895,20.1
陕西能源,2023-03-31,856238005.28,1682690996.13,001286,2698113737.53,5109420883.7,0.784,5.357,5.328,0.285413,32.933,47.19
中电港,2023-03-31,71164831.66,81343259.48,001287,7937033769.76,8248067064.69,-0.209,2.526,4.9439,0.124867,0.986,3.77
运机集团,2023-03-31,27303423.83,31871723.64,001288,156008015.18,197880339.21,-0.143,1.468,11.6286,0.170646,16.107,21.16
龙源电力,2023-03-31,2334753937.38,3141886175.38,001289,5914070597.34,9859568371.54,0.458,3.275,7.8972,0.278545,31.866,40.02
长江材料,2023-03-31,18582375.84,22002561.24,001296,136528199.25,177331189.58,-0.319,1.17,14.8629,0.173896,12.408,23.01
好上好,2023-03-31,4303526.43,5424529.86,001298,1159559944.45,1226361659.27,-0.688,0.287,15.6165,0.044828,0.442,5.45
美能能源,2023-03-31,21286080.44,24259086.95,001299,160018435.87,186629206.73,-0.253,1.704,6.6613,0.113478,12.999,14.26
三柏硕,2023-03-31,3825378.02,4655732.09,001300,81680989.89,102804724.14,-0.103,0.35,4.4828,0.015692,4.529,20.55
尚太科技,2023-03-31,230485170.89,281818145.12,001301,619180759.12,952487645.69,-2.485,4.247,20.892,0.887251,29.588,34.99
康冠科技,2023-03-31,252887184.67,254906497.21,001308,1753990594.2,2167270932.37,0.847,4.088,11.8222,0.483316,11.762,19.07
德明利,2023-03-31,-43784403.78,-45085152.95,001309,284260375.34,301973107.61,0.165,-4.182,13.0579,-0.546098,-14.93,5.87
多利科技,2023-03-31,106582692.18,122083572.69,001311,639543398.29,826056538.65,-0.203,2.667,28.2756,0.754123,14.779,22.58
粤海饲料,2023-03-31,-48541051.13,-66812589.48,001313,864545356.83,957027319.93,-0.166,-1.789,3.8768,-0.069344,-6.981,9.66
亿道信息,2023-03-31,25693578.89,24674637.73,001314,340442903.97,443261997.53,0.183,1.266,14.4466,0.182943,5.567,23.2
润贝航科,2023-03-31,25221760.92,30416824.67,001316,122490813.77,162281359.64,-0.015,2.361,13.3518,0.315272,18.743,24.52
三羊马,2023-03-31,7863740.26,9194810.85,001317,202805838.27,220616974.64,-0.13,0.978,10.0502,0.098248,4.168,8.07
阳光乳业,2023-03-31,21935327.82,23135261.29,001318,78861704.12,116279377.63,0.027,1.706,4.5495,0.077603,19.896,32.18
铭科精技,2023-03-31,18017256.29,18008633.22,001319,135803642.29,184439643.22,0.05,1.519,8.3868,0.12742,9.764,26.37
箭牌家居,2023-03-31,3111061.91,8376639.73,001322,771773808.4,1109563041.65,-0.601,0.066,4.9149,0.003222,0.755,30.44
慕思股份,2023-03-31,101266788.82,125253991.34,001323,494047671.6,957196805.44,0.861,2.271,11.1457,0.253161,13.086,48.39
登康口腔,2023-03-31,32280888.61,37358875.98,001328,201277289.16,342674231.37,0.021,2.305,8.1335,0.18749,10.902,41.26
博纳影业,2023-03-31,-108201384.36,-125986618.94,001330,406027897.1,524311246.38,0.014,-1.618,4.8648,-0.078719,-24.029,22.56
胜通能源,2023-03-31,3793278.62,5318234.92,001331,931878041.68,932251838.0,0.281,0.239,13.2567,0.031611,0.57,0.04
锡装股份,2023-03-31,54302704.31,63852847.48,001332,248382569.35,328066698.42,-1.017,2.493,27.2309,0.678784,19.463,24.29
光华股份,2023-03-31,24512480.04,28454924.2,001333,260295379.21,300860911.02,-0.35,1.568,12.2171,0.191504,9.458,13.48
楚环科技,2023-03-31,12189196.04,14488484.2,001336,58990663.7,91018316.21,0.222,1.608,9.4328,0.151657,15.918,35.19
四川黄金,2023-03-31,61855940.09,74225492.82,001337,80846056.39,177727902.63,0.2,4.779,3.0819,0.147276,41.764,54.51
永顺泰,2023-03-31,35051361.12,36027585.32,001338,1025912209.99,1075033560.18,1.958,1.074,6.5057,0.069861,3.351,4.57
智微智能,2023-03-31,35931950.85,34515547.47,001339,691606619.5,796325723.39,-0.032,1.896,7.6054,0.144214,4.334,13.15
南矿集团,2023-03-31,14749045.69,19294325.23,001360,99213550.13,159755441.76,-0.191,2.556,3.7713,0.096399,12.077,37.9
播恩集团,2023-03-31,18523771.86,21597474.27,001366,335564814.7,390742547.86,-0.184,2.156,5.346,0.115284,5.527,14.12
海森药业,2023-03-31,24997456.97,28981024.75,001367,67374814.11,106949889.42,0.064,5.057,9.6934,0.490146,27.098,37.0
通达创智,2023-03-31,30972221.01,34924659.61,001368,147490797.96,206640227.28,-0.034,2.278,12.1406,0.276538,16.901,28.62
宗申动力,2023-03-31,111306756.73,125928750.74,001696,1804059602.94,2100536049.01,-0.106,2.29,4.2442,0.097209,5.995,14.11
招商港口,2023-03-31,850039606.18,2095316198.71,001872,2166281506.75,3693584257.97,0.28,1.538,22.1158,0.340142,56.729,41.35
豫能控股,2023-03-31,-418939154.99,-483493867.37,001896,3287079101.86,3102113980.1,-0.041,-12.496,2.1973,-0.274574,-15.586,-5.96
招商积余,2023-03-31,184527761.81,239207778.91,001914,2900906609.76,3305810768.0,-0.871,1.977,8.8031,0.174026,7.236,12.25
招商公路,2023-03-31,1349407335.81,1536722839.46,001965,1217391459.08,2025990680.0,0.116,2.178,9.0186,0.218168,75.85,39.91
招商蛇口,2023-03-31,271957203.69,560789186.38,001979,13114429486.26,15008808510.42,1.069,0.269,10.79,0.035141,3.736,12.62
新 和 成,2023-03-31,643158260.22,754058342.83,002001,2467400928.17,3612227625.99,0.127,2.656,7.8354,0.208081,20.875,31.69
鸿达兴业,2023-03-31,1957029.92,1593691.44,002002,673564081.41,834175354.74,0.0,0.019,3.2644,0.000627,0.191,19.25
伟星股份,2023-03-31,53648691.25,62019876.86,002003,434304297.64,697158855.47,-0.009,1.81,2.8581,0.051724,8.896,37.7
华邦健康,2023-03-31,177137767.78,373052903.14,002004,1822406640.94,2975546798.68,-0.007,1.708,5.2368,0.089467,12.537,38.75
ST德豪,2023-03-31,-42265848.91,-38568670.7,002005,157874537.02,177192582.67,-0.036,-4.112,0.5866,-0.024118,-21.767,10.9
精工科技,2023-03-31,47892290.6,54381479.77,002006,256709399.19,379348791.31,-0.093,3.414,3.0818,0.105221,14.335,32.33
华兰生物,2023-03-31,351676291.89,452445402.74,002007,325312058.74,880663132.35,0.202,3.27,5.8953,0.192766,51.376,63.06
大族激光,2023-03-31,142440396.14,126324457.43,002008,1629165945.83,2425072389.45,-0.224,0.99,13.1516,0.135384,5.209,32.82
天奇股份,2023-03-31,-298843871.04,-295765706.52,002009,758990262.21,748660079.22,0.087,-15.709,4.9968,-0.784945,-39.506,-1.38
传化智联,2023-03-31,176488738.28,230825424.14,002010,7409616078.8,8213182156.45,-0.057,1.007,6.2526,0.062972,2.81,9.78
盾安环境,2023-03-31,162812973.63,213678345.01,002011,1964821492.79,2440763774.21,-0.162,4.278,3.6015,0.154087,8.755,19.5
凯恩股份,2023-03-31,49389936.9,49732839.45,002012,248904122.42,285349443.12,0.206,3.201,3.2993,0.105619,17.429,12.77
永新股份,2023-03-31,77955186.87,94033309.4,002014,593486096.65,785193517.97,-0.185,3.692,3.4477,0.127275,11.976,24.42
协鑫能科,2023-03-31,325366383.84,376003944.2,002015,2375920322.56,2854856453.97,0.331,3.083,6.5009,0.200432,13.171,16.78
世荣兆业,2023-03-31,60886094.69,84348152.84,002016,160668576.4,300339671.56,-0.197,1.311,5.7408,0.075252,28.084,46.5
东信和平,2023-03-31,35576135.05,49977884.57,002017,236933588.57,350336674.99,0.078,2.289,3.4814,0.07968,14.266,32.37
亿帆医药,2023-03-31,64774428.2,44329233.2,002019,480751477.19,938532039.13,0.002,0.731,7.2262,0.052833,4.723,48.78
京新药业,2023-03-31,151198043.53,174895031.53,002020,480393479.67,960425636.79,0.231,2.854,6.1525,0.175602,18.21,49.98
*ST中捷,2023-03-31,900071.48,3396405.16,002021,173060545.89,205433033.5,0.009,,-0.4303,0.001309,1.653,15.76
科华生物,2023-03-31,54761876.98,117086114.1,002022,442543620.3,833147693.69,-0.795,1.125,9.1878,0.106479,14.053,46.88
海特高新,2023-03-31,12725496.58,14884649.6,002023,133713101.03,228562244.72,0.117,0.303,5.542,0.016815,6.512,41.5
ST易购,2023-03-31,-100644000.0,-242453000.0,002024,12571881000.0,15859360000.0,0.209,-0.627,1.7256,-0.01081,-1.529,20.73
航天电器,2023-03-31,219621738.62,274963561.8,002025,1141794206.05,1782508589.39,-0.641,3.721,13.0402,0.485178,15.426,35.94
山东威达,2023-03-31,16125293.84,17815845.58,002026,363869469.18,451704057.5,0.14,0.488,7.4345,0.036195,3.944,19.45
分众传媒,2023-03-31,941213711.27,1183112491.2,002027,982948112.27,2574661727.65,0.144,5.264,1.238,0.065171,45.952,61.82
思源电气,2023-03-31,218414345.95,250852766.86,002028,1602528125.79,2171977395.78,-0.52,2.323,12.2119,0.283596,11.55,26.22
七 匹 狼,2023-03-31,88974288.46,134740145.14,002029,514272350.8,909260937.26,0.043,1.419,8.2997,0.117742,14.819,43.44
达安基因,2023-03-31,36561352.66,50523049.0,002030,150889525.36,341038087.62,-0.257,0.323,8.0783,0.026051,14.814,55.76
巨轮智能,2023-03-31,5520968.84,7064250.77,002031,178987485.96,205732577.58,-0.003,0.224,1.1202,0.00251,3.434,13.0
苏 泊 尔,2023-03-31,437905012.74,552413095.74,002032,3711070716.4,4962675878.22,0.931,5.915,9.1554,0.541523,11.131,25.22
丽江股份,2023-03-31,55203027.44,76362006.15,002033,69444329.97,180011667.44,0.198,2.234,4.4964,0.100462,42.421,61.42
旺能环境,2023-03-31,163860457.16,179639031.23,002034,566060493.29,864973343.51,0.339,2.615,14.2271,0.381518,20.768,34.56
华帝股份,2023-03-31,92165833.34,110920987.01,002035,721404406.24,1194945843.39,0.039,2.716,4.0031,0.108731,9.283,39.63
联创电子,2023-03-31,-177479009.08,-191664366.38,002036,1795328652.7,1957751460.56,0.001,-4.895,3.3321,-0.165312,-9.79,8.3
保利联合,2023-03-31,-36655989.91,-29751320.88,002037,949659467.85,1175172246.19,-0.203,-1.437,5.2719,-0.075754,-2.532,19.19
双鹭药业,2023-03-31,201929706.82,230848992.92,002038,41200442.97,296576777.05,0.11,3.561,5.5191,0.196554,77.838,86.11
黔源电力,2023-03-31,-15516124.28,-24378357.27,002039,141834017.88,219611699.28,1.02,-0.423,8.5704,-0.03629,-11.101,35.42
南 京 港,2023-03-31,34899347.32,54116940.14,002040,86877299.29,188595935.73,0.01,1.141,6.2293,0.071052,28.695,53.93
登海种业,2023-03-31,44718132.09,50978515.5,002041,177872826.92,262932208.54,-0.133,1.332,3.8165,0.050816,19.388,32.35
华孚时尚,2023-03-31,51972113.03,47795507.99,002042,4274561989.5,4532846687.35,0.253,0.834,3.6665,0.03056,1.054,5.7
兔 宝 宝,2023-03-31,74532065.5,109285278.38,002043,858841118.95,1111734656.89,-0.102,2.561,3.7656,0.088281,9.83,22.75
美年健康,2023-03-31,-167198010.95,-160832228.43,002044,1413922699.02,2095573428.4,-0.015,-2.294,1.8623,-0.042715,-7.675,32.53
国光电器,2023-03-31,7150789.46,-3295098.86,002045,959077574.81,1086323020.16,0.901,0.341,4.4733,0.015267,-0.303,11.71
国机精工,2023-03-31,74444480.23,90965325.13,002046,408582581.79,617670449.66,-0.183,2.347,5.9945,0.140692,14.727,33.85
宝鹰股份,2023-03-31,-86388297.38,-101154313.7,002047,613322774.74,670303991.76,-0.045,-8.997,0.6333,-0.056975,-15.091,8.5
宁波华翔,2023-03-31,199659342.29,342216615.95,002048,3880284415.83,4636619344.07,-0.125,1.768,13.8687,0.245253,7.381,16.31
紫光国微,2023-03-31,583817553.64,639374927.95,002049,513893709.48,1540705013.1,0.213,5.677,11.8977,0.687153,41.499,66.65
三花智控,2023-03-31,601262668.34,701826103.92,002050,4226656669.32,5678755521.9,0.205,4.4,3.6914,0.167442,12.359,25.57
中工国际,2023-03-31,116162763.79,148789217.78,002051,2357956720.52,2788678558.2,0.028,1.051,8.9302,0.093876,5.335,15.45
ST同洲,2023-03-31,-4200280.56,-9321937.4,002052,93155164.61,95439346.62,0.012,-5.211,0.1081,-0.005631,-9.767,2.39
